2022-06-28 02:06:143 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (1a0f036d620a9f6399edb5ef2683e9b6)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 02:06:614 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 02:06:626 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (4ebae810b76b33da1eae463532bbc1dc)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 02:06:228 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (4ebae810b76b33da1eae463532bbc1dc)] -> xpath: //a[@data-product_id='22']]
2022-06-28 02:06:433 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (4ebae810b76b33da1eae463532bbc1dc)] -> xpath: //a[@data-product_id='66']]
2022-06-28 02:06:982 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (4ebae810b76b33da1eae463532bbc1dc)] -> xpath: //a[@data-product_id='57']]
2022-06-28 02:06:780 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (4ebae810b76b33da1eae463532bbc1dc)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 02:06:879 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 02:06:844 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (3bcb3b5cc8d780e08768bc6804d10b85)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 02:06:499 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (3bcb3b5cc8d780e08768bc6804d10b85)] -> xpath: //a[@data-product_id='22']]
2022-06-28 02:06:690 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (3bcb3b5cc8d780e08768bc6804d10b85)] -> xpath: //a[@data-product_id='66']]
2022-06-28 02:06:107 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (3bcb3b5cc8d780e08768bc6804d10b85)] -> xpath: //a[@data-product_id='57']]
2022-06-28 02:06:787 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (3bcb3b5cc8d780e08768bc6804d10b85)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 02:06:699 INFO  ManageDriver :35 - Launching Chrome Browser
